Height(Centimeter),Weight(Kilograms),Gender,BMI,Skin Color,Clothes Color,Pants Color,Skin Color_R,Skin Color_G,Skin Color_B,Clothes Color_R,Clothes Color_G,Clothes Color_B,Pants Color_R,Pants Color_G,Pants Color_B,Skin_Brightness,Clothes_Brightness,SkinCluster,ShirtCluster
172.9232254,54.9960795544,Female,Underweight,"(243, 214, 200)","(169, 114, 81)","(160, 255, 238)",243,214,200,169,114,81,160,255,238,219.0,121.33333333333331,5,3
173.5168234,58.3944361776,Male,Ideal,"(246, 215, 197)","(145, 104, 66)","(155, 250, 145)",246,215,197,145,104,66,155,250,145,219.33333333333331,105.0,5,3
174.757334,64.56668931760001,Male,Ideal,"(253, 220, 213)","(200, 175, 3)","(130, 99, 42)",253,220,213,200,175,3,130,99,42,228.66666666666663,126.0,0,6
172.7948538,61.8000049136,Male,Ideal,"(119, 78, 58)","(225, 41, 187)","(208, 218, 28)",119,78,58,225,41,187,208,218,28,85.0,151.0,1,4
170.4438298,65.3840621016,Male,Ideal,"(235, 185, 152)","(120, 210, 226)","(5, 48, 65)",235,185,152,120,210,226,5,48,65,190.66666666666663,185.33333333333331,2,7
178.7801098,57.1935059984,Female,Underweight,"(226, 165, 137)","(12, 80, 29)","(209, 44, 182)",226,165,137,12,80,29,209,44,182,176.0,40.333333333333336,2,5
166.5686534,51.1732515376,Female,Underweight,"(119, 78, 58)","(140, 184, 55)","(216, 139, 201)",119,78,58,140,184,55,216,139,201,85.0,126.33333333333331,1,2
169.5904914,48.0162965768,Female,Underweight,"(252, 218, 191)","(95, 47, 240)","(189, 97, 108)",252,218,191,95,47,240,189,97,108,220.33333333333331,127.33333333333331,5,7
178.2569968,55.1723000464,Female,Underweight,"(226, 165, 137)","(181, 132, 158)","(147, 94, 189)",226,165,137,181,132,158,147,94,189,176.0,157.0,2,4
175.2886512,59.1693981096,Male,Ideal,"(127, 41, 44)","(157, 144, 146)","(234, 108, 165)",127,41,44,157,144,146,234,108,165,70.66666666666667,149.0,3,6
170.81830200000002,55.5098178536,Female,Ideal,"(246, 215, 197)","(10, 92, 149)","(38, 194, 146)",246,215,197,10,92,149,38,194,146,219.33333333333331,83.66666666666667,5,7
174.0094564,69.23737150080001,Male,Ideal,"(226, 165, 137)","(45, 44, 89)","(195, 37, 76)",226,165,137,45,44,89,195,37,76,176.0,59.333333333333336,2,5
173.8949278,66.7115444488,Male,Ideal,"(119, 78, 58)","(174, 73, 96)","(133, 103, 81)",119,78,58,174,73,96,133,103,81,85.0,114.33333333333331,1,3
169.6389292,47.1974722984,Female,Underweight,"(246, 215, 197)","(196, 64, 14)","(94, 124, 240)",246,215,197,196,64,14,94,124,240,219.33333333333331,91.33333333333331,5,3
172.0690234,60.534437874400005,Male,Ideal,"(243, 214, 200)","(218, 25, 82)","(212, 179, 53)",243,214,200,218,25,82,212,179,53,219.0,108.33333333333331,5,3
178.962177,59.3035706232,Male,Ideal,"(235, 185, 152)","(198, 208, 123)","(47, 228, 81)",235,185,152,198,208,123,47,228,81,190.66666666666663,176.33333333333334,2,4
182.693945,71.0071967664,Male,Ideal,"(252, 218, 191)","(3, 121, 179)","(231, 149, 105)",252,218,191,3,121,179,231,149,105,220.33333333333331,101.0,5,7
183.2270656,58.8278886928,Male,Underweight,"(119, 78, 58)","(191, 123, 233)","(211, 129, 110)",119,78,58,191,123,233,211,129,110,85.0,182.33333333333331,1,4
171.65142200000005,51.1348322952,Female,Underweight,"(204, 150, 103)","(205, 250, 137)","(232, 13, 194)",204,150,103,205,250,137,232,13,194,152.33333333333334,197.33333333333331,4,7
165.7430518,56.3831638904,Female,Ideal,"(226, 165, 137)","(187, 189, 217)","(55, 20, 88)",226,165,137,187,189,217,55,20,88,176.0,197.66666666666663,2,4
171.10776040000002,63.98464006319999,Male,Ideal,"(127, 41, 44)","(104, 3, 31)","(148, 81, 184)",127,41,44,104,3,31,148,81,184,70.66666666666667,46.0,3,3
170.4822092,58.879734258400006,Male,Ideal,"(127, 41, 44)","(204, 225, 139)","(75, 182, 103)",127,41,44,204,225,139,75,182,103,70.66666666666667,189.33333333333331,3,6
176.1855506,61.4791339328,Male,Ideal,"(253, 220, 213)","(35, 118, 109)","(91, 155, 57)",253,220,213,35,118,109,91,155,57,228.66666666666663,87.33333333333333,0,4
173.73488239999998,61.4294656088,Male,Ideal,"(127, 41, 44)","(226, 213, 220)","(50, 225, 226)",127,41,44,226,213,220,50,225,226,70.66666666666667,219.66666666666663,3,6
171.24720639999998,54.9626044648,Female,Ideal,"(253, 220, 213)","(67, 102, 241)","(194, 146, 111)",253,220,213,67,102,241,194,146,111,228.66666666666663,136.66666666666666,0,1
179.0968732,53.419756636,Female,Underweight,"(252, 218, 191)","(229, 75, 118)","(75, 38, 39)",252,218,191,229,75,118,75,38,39,220.33333333333331,140.66666666666666,5,3
171.8029584,55.3135485952,Female,Ideal,"(253, 220, 213)","(31, 74, 212)","(104, 200, 230)",253,220,213,31,74,212,104,200,230,228.66666666666663,105.66666666666669,0,1
171.1890404,59.6241694488,Male,Ideal,"(252, 218, 191)","(183, 97, 56)","(47, 50, 238)",252,218,191,183,97,56,47,50,238,220.33333333333331,112.0,5,3
169.6649642,53.7727419304,Female,Ideal,"(252, 218, 191)","(33, 3, 249)","(93, 10, 226)",252,218,191,33,3,249,93,10,226,220.33333333333331,95.0,5,7
170.7694324,61.17255110000001,Male,Ideal,"(127, 41, 44)","(75, 64, 5)","(59, 191, 57)",127,41,44,75,64,5,59,191,57,70.66666666666667,48.0,3,3
166.889938,52.1611295544,Female,Ideal,"(226, 165, 137)","(12, 146, 227)","(8, 117, 29)",226,165,137,12,146,227,8,117,29,176.0,128.33333333333334,2,7
169.64599040000002,56.4810036848,Female,Ideal,"(119, 78, 58)","(200, 65, 143)","(184, 126, 128)",119,78,58,200,65,143,184,126,128,85.0,136.0,1,4
175.6001822,56.9960120416,Female,Underweight,"(235, 185, 152)","(151, 161, 228)","(18, 71, 165)",235,185,152,151,161,228,18,71,165,190.66666666666663,180.0,2,4
168.3491172,63.007103944,Female,Ideal,"(119, 78, 58)","(182, 107, 31)","(158, 148, 174)",119,78,58,182,107,31,158,148,174,85.0,106.66666666666669,1,3
171.53889999999998,53.215186644,Female,Underweight,"(253, 220, 213)","(89, 105, 204)","(244, 72, 208)",253,220,213,89,105,204,244,72,208,228.66666666666663,132.66666666666666,0,1
178.5820406,61.3214653536,Male,Ideal,"(204, 150, 103)","(22, 210, 107)","(30, 107, 84)",204,150,103,22,210,107,30,107,84,152.33333333333334,113.0,4,3
173.7243668,59.6604114496,Male,Ideal,"(246, 215, 197)","(119, 98, 151)","(241, 170, 204)",246,215,197,119,98,151,241,170,204,219.33333333333331,122.66666666666669,5,7
174.487967,60.589458584,Male,Ideal,"(119, 78, 58)","(252, 132, 64)","(69, 105, 85)",119,78,58,252,132,64,69,105,85,85.0,149.33333333333334,1,2
179.66616340000002,62.878964204000006,Male,Ideal,"(246, 215, 197)","(194, 138, 118)","(162, 162, 19)",246,215,197,194,138,118,162,162,19,219.33333333333331,150.0,5,5
165.8108698,61.06368902,Female,Ideal,"(253, 220, 213)","(177, 223, 97)","(221, 189, 25)",253,220,213,177,223,97,221,189,25,228.66666666666663,165.66666666666666,0,6
178.3892546,60.91826742479999,Male,Ideal,"(243, 214, 200)","(131, 29, 114)","(97, 90, 235)",243,214,200,131,29,114,97,90,235,219.0,91.33333333333331,5,3
176.64557000000002,60.7063492424,Male,Ideal,"(119, 78, 58)","(214, 6, 177)","(207, 252, 79)",119,78,58,214,6,177,207,252,79,85.0,132.33333333333334,1,4
171.835826,57.3377936136,Female,Ideal,"(252, 218, 191)","(167, 93, 33)","(144, 45, 124)",252,218,191,167,93,33,144,45,124,220.33333333333331,97.66666666666669,5,3
176.9890542,63.051329164,Male,Ideal,"(226, 165, 137)","(60, 212, 162)","(245, 13, 61)",226,165,137,60,212,162,245,13,61,176.0,144.66666666666666,2,7
167.4618698,59.5063716064,Female,Ideal,"(243, 214, 200)","(119, 9, 167)","(127, 105, 56)",243,214,200,119,9,167,127,105,56,219.0,98.33333333333331,5,7
179.299108,69.3608392432,Male,Ideal,"(243, 214, 200)","(219, 45, 81)","(180, 189, 54)",243,214,200,219,45,81,180,189,54,219.0,115.0,5,3
169.5124626,54.3636362288,Female,Ideal,"(252, 218, 191)","(222, 251, 110)","(90, 211, 112)",252,218,191,222,251,110,90,211,112,220.33333333333331,194.33333333333331,5,5
169.3861484,56.638218672,Female,Ideal,"(246, 215, 197)","(129, 58, 142)","(229, 230, 134)",246,215,197,129,58,142,229,230,134,219.33333333333331,109.66666666666669,5,7
168.518967,68.2401494888,Female,Ideal,"(243, 214, 200)","(199, 215, 101)","(224, 41, 168)",243,214,200,199,215,101,224,41,168,219.0,171.66666666666666,5,5
174.9889566,60.28328398399999,Male,Ideal,"(204, 150, 103)","(89, 183, 97)","(15, 168, 95)",204,150,103,89,183,97,15,168,95,152.33333333333334,123.0,4,3
172.3666606,59.3723805296,Male,Ideal,"(226, 165, 137)","(123, 95, 127)","(187, 112, 61)",226,165,137,123,95,127,187,112,61,176.0,115.0,2,5
178.5824216,63.3029366464,Male,Ideal,"(226, 165, 137)","(77, 111, 15)","(107, 111, 211)",226,165,137,77,111,15,107,111,211,176.0,67.66666666666667,2,5
174.8700592,52.201181728,Female,Underweight,"(204, 150, 103)","(153, 214, 230)","(117, 248, 199)",204,150,103,153,214,230,117,248,199,152.33333333333334,199.0,4,7
176.32479340000003,62.55981687279999,Male,Ideal,"(243, 214, 200)","(206, 115, 64)","(145, 133, 72)",243,214,200,206,115,64,145,133,72,219.0,128.33333333333334,5,3
173.66495619999998,62.4470085424,Male,Ideal,"(235, 185, 152)","(156, 171, 254)","(207, 176, 82)",235,185,152,156,171,254,207,176,82,190.66666666666663,193.66666666666663,2,4
