Height(Centimeter),Weight(Kilograms),Gender,BMI,Skin Color,Clothes Color,Pants Color,Skin Color_R,Skin Color_G,Skin Color_B,Clothes Color_R,Clothes Color_G,Clothes Color_B,Pants Color_R,Pants Color_G,Pants Color_B,Skin_Brightness,Clothes_Brightness,ShirtCluster,PantCluster,rgb_distance,Shirt_Lum,Pant_Lum,Lum_Diff
170.955589,62.121238768000005,Male,Ideal,"(246, 215, 197)","(44, 189, 207)","(107, 248, 16)",246,215,197,44,189,207,107,248,16,219.33333333333331,146.66666666666666,6,5,209.59723280616086,159.4726,201.273,41.800399999999996
173.8187532,58.43557697199999,Male,Ideal,"(127, 41, 44)","(190, 240, 54)","(81, 55, 251)",127,41,44,190,240,54,81,55,251,70.66666666666667,161.33333333333334,2,2,291.40178448321143,215.9408,74.6788,141.262
170.7007254,57.246485544,Female,Ideal,"(246, 215, 197)","(60, 38, 13)","(124, 246, 176)",246,215,197,60,38,13,124,246,176,219.33333333333331,37.0,0,3,271.8988782617538,40.8722,215.0088,174.13660000000002
177.4929902,57.9641134472,Female,Underweight,"(235, 185, 152)","(253, 206, 123)","(98, 43, 184)",235,185,152,253,206,123,98,43,184,190.66666666666663,194.0,2,2,233.05578731282344,209.9996,64.8732,145.1264
169.181526,48.8607941624,Female,Underweight,"(252, 218, 191)","(189, 71, 178)","(239, 201, 14)",252,218,191,189,71,178,239,201,14,220.33333333333331,146.0,3,1,215.1650529244933,103.8122,195.57739999999998,91.76519999999998
167.2086572,58.6349760152,Female,Ideal,"(246, 215, 197)","(21, 71, 66)","(77, 249, 222)",246,215,197,21,71,66,77,249,222,219.33333333333331,52.66666666666666,0,3,243.22006496175433,60.00899999999999,210.4834,150.4744
169.6728128,55.9952066528,Female,Ideal,"(243, 214, 200)","(53, 149, 52)","(253, 156, 241)",243,214,200,53,149,52,253,156,241,219.0,84.66666666666667,1,7,275.26351011349107,121.58699999999999,182.7592,61.172200000000004
172.1676516,48.6113639216,Female,Underweight,"(235, 185, 152)","(52, 211, 117)","(7, 14, 84)",235,185,152,52,211,117,7,14,84,190.66666666666663,126.66666666666669,1,3,204.75106837328102,170.4098,17.565799999999996,152.844
168.4943544,57.3260002216,Female,Ideal,"(243, 214, 200)","(232, 8, 70)","(51, 216, 207)",243,214,200,232,8,70,51,216,207,219.0,103.33333333333331,7,5,307.8863426656012,60.098800000000004,180.2712,120.17239999999998
176.5022886,57.6255977376,Female,Underweight,"(243, 214, 200)","(68, 45, 8)","(123, 194, 200)",243,214,200,68,45,8,123,194,200,219.0,40.333333333333336,0,3,249.17865077088769,47.218399999999995,179.33859999999999,132.12019999999998
171.053252,60.5278154312,Male,Ideal,"(243, 214, 200)","(2, 24, 242)","(45, 250, 187)",243,214,200,2,24,242,45,250,187,219.0,89.33333333333333,4,5,236.5375234502974,35.0624,201.86839999999998,166.80599999999998
172.0307456,53.3747603096,Female,Underweight,"(226, 165, 137)","(135, 105, 226)","(89, 6, 9)",226,165,137,135,105,226,89,6,9,176.0,155.33333333333334,3,4,242.91150652037874,120.1142,23.8624,96.2518
179.1838682,64.5610647768,Male,Ideal,"(253, 220, 213)","(84, 110, 219)","(230, 110, 72)",253,220,213,84,110,219,230,110,72,228.66666666666663,137.66666666666666,4,3,207.18349355100662,112.3422,132.76839999999999,20.42619999999998
172.27974179999998,56.2976164392,Female,Ideal,"(127, 41, 44)","(196, 255, 1)","(48, 9, 202)",127,41,44,196,255,1,48,9,202,70.66666666666667,150.66666666666666,2,2,350.4582714104491,224.1178,31.226,192.8918
169.84878400000002,58.121328434400006,Male,Ideal,"(235, 185, 152)","(108, 226, 16)","(221, 248, 200)",235,185,152,108,226,16,221,248,200,190.66666666666663,116.66666666666669,1,7,217.046078057172,185.7512,238.7942,53.04299999999998
173.4778344,58.6924461216,Male,Ideal,"(253, 220, 213)","(237, 23, 66)","(115, 235, 143)",253,220,213,237,23,66,115,235,143,228.66666666666663,108.66666666666669,7,5,256.4312773434629,71.601,202.8456,131.2446
170.4790342,53.8015450224,Female,Ideal,"(119, 78, 58)","(82, 77, 243)","(186, 16, 68)",119,78,58,82,77,243,186,16,68,85.0,134.0,4,3,212.51352898109803,90.04820000000001,55.8964,34.15180000000001
170.3715922,56.1421251016,Female,Ideal,"(252, 218, 191)","(122, 217, 57)","(1, 131, 251)",252,218,191,122,217,57,1,131,251,220.33333333333331,132.0,1,1,244.28057638707176,185.25099999999998,112.02599999999998,73.225
